lemma,asp,def
отделить,совершенный,"Разобщать/разобщить кого-либо с кем-либо, делая их чужими, менее близкими, дружественными, далекими по духу, мироощущению."
отъединять,несовершенный,"Разобщать/разобщить кого-либо с кем-либо, делая их чужими, менее близкими, дружественными, далекими по духу, мироощущению."
отъединить,совершенный,"Разобщать/разобщить кого-либо с кем-либо, делая их чужими, менее близкими, дружественными, далекими по духу, мироощущению."
отлучать,несовершенный,"Разобщать/разобщить кого-либо с кем-либо, делая их чужими, менее близкими, дружественными, далекими по духу, мироощущению."
отлучить,совершенный,"Разобщать/разобщить кого-либо с кем-либо, делая их чужими, менее близкими, дружественными, далекими по духу, мироощущению."
отторгать,несовершенный,"Разобщать/разобщить кого-либо с кем-либо, делая их чужими, менее близкими, дружественными, далекими по духу, мироощущению."
отторгнуть,совершенный,"Разобщать/разобщить кого-либо с кем-либо, делая их чужими, менее близкими, дружественными, далекими по духу, мироощущению."
отчуждать,несовершенный,"Разобщать/разобщить кого-либо с кем-либо, делая их чужими, менее близкими, дружественными, далекими по духу, мироощущению."
отдаляться,несовершенный,"Становиться/стать чужим, далёким, неблизким кому-либо, прекращая близкие, дружественные отношения с кем-либо."
отдалиться,совершенный,"Становиться/стать чужим, далёким, неблизким кому-либо, прекращая близкие, дружественные отношения с кем-либо."
отгораживаться,несовершенный,"Становиться/стать чужим, далёким, неблизким кому-либо, прекращая близкие, дружественные отношения с кем-либо."
отгородиться,совершенный,"Становиться/стать чужим, далёким, неблизким кому-либо, прекращая близкие, дружественные отношения с кем-либо."
отходить,несовершенный,"Становиться/стать чужим, далёким, неблизким кому-либо, прекращая близкие, дружественные отношения с кем-либо."
отойти,совершенный,"Становиться/стать чужим, далёким, неблизким кому-либо, прекращая близкие, дружественные отношения с кем-либо."
отделять,несовершенный,"Предоставлять/предоставить кому-либо возможность жить отдельно, самостоятельно, отдаляя от себя."
отделить,совершенный,"Предоставлять/предоставить кому-либо возможность жить отдельно, самостоятельно, отдаляя от себя."
изолировать,двувидовой,"Предоставлять/предоставить кому-либо возможность жить отдельно, самостоятельно, отдаляя от себя."
обособлять,несовершенный,"Предоставлять/предоставить кому-либо возможность жить отдельно, самостоятельно, отдаляя от себя."
обособить,совершенный,"Предоставлять/предоставить кому-либо возможность жить отдельно, самостоятельно, отдаляя от себя."
отгораживать,несовершенный,"Предоставлять/предоставить кому-либо возможность жить отдельно, самостоятельно, отдаляя от себя."
отгородить,совершенный,"Предоставлять/предоставить кому-либо возможность жить отдельно, самостоятельно, отдаляя от себя."
отграничивать,несовершенный,"Предоставлять/предоставить кому-либо возможность жить отдельно, самостоятельно, отдаляя от себя."
отграничить,совершенный,"Предоставлять/предоставить кому-либо возможность жить отдельно, самостоятельно, отдаляя от себя."
отмежёвывать,несовершенный,"Предоставлять/предоставить кому-либо возможность жить отдельно, самостоятельно, отдаляя от себя."
отмежевать,совершенный,"Предоставлять/предоставить кому-либо возможность жить отдельно, самостоятельно, отдаляя от себя."
отъединять,несовершенный,"Предоставлять/предоставить кому-либо возможность жить отдельно, самостоятельно, отдаляя от себя."
отъединить,совершенный,"Предоставлять/предоставить кому-либо возможность жить отдельно, самостоятельно, отдаляя от себя."
отделяться,несовершенный,"Становиться/стать далеким, чужим кому-либо."
отделиться,совершенный,"Становиться/стать далеким, чужим кому-либо."
изолироваться,двувидовой,"Становиться/стать далеким, чужим кому-либо."
обособляться,несовершенный,"Становиться/стать далеким, чужим кому-либо."
обособиться,совершенный,"Становиться/стать далеким, чужим кому-либо."
отгораживаться,несовершенный,"Становиться/стать далеким, чужим кому-либо."
отгородиться,совершенный,"Становиться/стать далеким, чужим кому-либо."
отграничиваться,несовершенный,"Становиться/стать далеким, чужим кому-либо."
отграничиться,совершенный,"Становиться/стать далеким, чужим кому-либо."
отъединяться,несовершенный,"Становиться/стать далеким, чужим кому-либо."
отъединиться,совершенный,"Становиться/стать далеким, чужим кому-либо."
отступаться,несовершенный,"Отказываться/отказаться от кого-, чего-либо, переставая общаться с кем-либо, утрачивая интерес к кому-либо."
отступиться,совершенный,"Отказываться/отказаться от кого-, чего-либо, переставая общаться с кем-либо, утрачивая интерес к кому-либо."
отворачиваться,несовершенный,"Отказываться/отказаться от кого-, чего-либо, переставая общаться с кем-либо, утрачивая интерес к кому-либо."
отвернуться,совершенный,"Отказываться/отказаться от кого-, чего-либо, переставая общаться с кем-либо, утрачивая интерес к кому-либо."
отказываться,несовершенный,"Отказываться/отказаться от кого-, чего-либо, переставая общаться с кем-либо, утрачивая интерес к кому-либо."
отказаться,совершенный,"Отказываться/отказаться от кого-, чего-либо, переставая общаться с кем-либо, утрачивая интерес к кому-либо."
отрекаться,несовершенный,"Отказываться/отказаться от кого-, чего-либо, переставая общаться с кем-либо, утрачивая интерес к кому-либо."
отречься,совершенный,"Отказываться/отказаться от кого-, чего-либо, переставая общаться с кем-либо, утрачивая интерес к кому-либо."
отшатываться,несовершенный,"Отказываться/отказаться от кого-, чего-либо, переставая общаться с кем-либо, утрачивая интерес к кому-либо."
отшатнуться,совершенный,"Отказываться/отказаться от кого-, чего-либо, переставая общаться с кем-либо, утрачивая интерес к кому-либо."
отрешаться,несовершенный,"Отказываться/отказаться от кого-, чего-либо, переставая общаться с кем-либо, утрачивая интерес к кому-либо."
отрешиться,совершенный,"Отказываться/отказаться от кого-, чего-либо, переставая общаться с кем-либо, утрачивая интерес к кому-либо."
откачнуться,совершенный,"Отказываться/отказаться от кого-, чего-либо, переставая общаться с кем-либо, утрачивая интерес к кому-либо."
открещиваться,несовершенный,"Отказываться/отказаться от кого-, чего-либо, переставая общаться с кем-либо, утрачивая интерес к кому-либо."
откреститься,совершенный,"Отказываться/отказаться от кого-, чего-либо, переставая общаться с кем-либо, утрачивая интерес к кому-либо."
отмахиваться,несовершенный,"Отказываться/отказаться от кого-, чего-либо, переставая общаться с кем-либо, утрачивая интерес к кому-либо."
отмахнуться,совершенный,"Отказываться/отказаться от кого-, чего-либо, переставая общаться с кем-либо, утрачивая интерес к кому-либо."
отталкивать,несовершенный,"Вызывать/вызвать своим поведением, поступком неприязнь к себе, нежелание общаться."
оттолкнуть,совершенный,"Вызывать/вызвать своим поведением, поступком неприязнь к себе, нежелание общаться."
отваживать,несовершенный,"Вызывать/вызвать своим поведением, поступком неприязнь к себе, нежелание общаться."
отвадить,совершенный,"Вызывать/вызвать своим поведением, поступком неприязнь к себе, нежелание общаться."
порывать,несовершенный,"Переставать/перестать поддерживать с кем-либо дружеские отношения, вести знакомство; резко разрушать/разрушить их."
порвать,совершенный,"Переставать/перестать поддерживать с кем-либо дружеские отношения, вести знакомство; резко разрушать/разрушить их."
прекращать,несовершенный,"Переставать/перестать поддерживать с кем-либо дружеские отношения, вести знакомство; резко разрушать/разрушить их."
прекратить,совершенный,"Переставать/перестать поддерживать с кем-либо дружеские отношения, вести знакомство; резко разрушать/разрушить их."
прерывать,несовершенный,"Переставать/перестать поддерживать с кем-либо дружеские отношения, вести знакомство; резко разрушать/разрушить их."
прервать,совершенный,"Переставать/перестать поддерживать с кем-либо дружеские отношения, вести знакомство; резко разрушать/разрушить их."
разрывать,несовершенный,"Переставать/перестать поддерживать с кем-либо дружеские отношения, вести знакомство; резко разрушать/разрушить их."
разорвать,совершенный,"Переставать/перестать поддерживать с кем-либо дружеские отношения, вести знакомство; резко разрушать/разрушить их."
рвать,несовершенный,"Переставать/перестать поддерживать с кем-либо дружеские отношения, вести знакомство; резко разрушать/разрушить их."
рваться,несовершенный,"Резко разрушаться/разрушиться (о дружеских связях, отношения и т.п.)."
порваться,совершенный,"Резко разрушаться/разрушиться (о дружеских связях, отношения и т.п.)."
прекращаться,несовершенный,"Резко разрушаться/разрушиться (о дружеских связях, отношения и т.п.)."
прекратиться,совершенный,"Резко разрушаться/разрушиться (о дружеских связях, отношения и т.п.)."
разрываться,несовершенный,"Резко разрушаться/разрушиться (о дружеских связях, отношения и т.п.)."
разорваться,совершенный,"Резко разрушаться/разрушиться (о дружеских связях, отношения и т.п.)."
разъединять,несовершенный,"Отделять/отделить кого-, что-либо друг от друга, лишая прямой непосредственной связи друг с другом; разлучать кого-либо."
разъединить,совершенный,"Отделять/отделить кого-, что-либо друг от друга, лишая прямой непосредственной связи друг с другом; разлучать кого-либо."
разделять,несовершенный,"Отделять/отделить кого-, что-либо друг от друга, лишая прямой непосредственной связи друг с другом; разлучать кого-либо."
разделить,совершенный,"Отделять/отделить кого-, что-либо друг от друга, лишая прямой непосредственной связи друг с другом; разлучать кого-либо."
разобщать,несовершенный,"Отделять/отделить кого-, что-либо друг от друга, лишая прямой непосредственной связи друг с другом; разлучать кого-либо."
разобщить,совершенный,"Отделять/отделить кого-, что-либо друг от друга, лишая прямой непосредственной связи друг с другом; разлучать кого-либо."
разрознить,совершенный,"Отделять/отделить кого-, что-либо друг от друга, лишая прямой непосредственной связи друг с другом; разлучать кого-либо."
нападать,несовершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
напасть,совершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
бросаться,несовершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
броситься,совершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
кидаться,несовершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
кинуться,совершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
набрасываться,несовершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
наброситься,совершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
накидываться,несовершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
накинуться,совершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
обрушиваться,несовершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
обрушиться,совершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
ополчаться,несовершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
ополчиться,совершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
наезжать,несовершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
наехать,совершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
налетать,несовершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
налететь,совершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
наскакивать,несовершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
наскочить,совершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
напускаться,несовершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
напуститься,совершенный,"Начинать/начать действовать против кого-либо враждебно, выступая с нападками, обличениями."
скандализировать,несовершенный,"Приводить/привести в смущение, оскорбляя чем-либо, нарушающим правила приличия, благопристойности."
скандализовать,несовершенный,"Приводить/привести в смущение, оскорбляя чем-либо, нарушающим правила приличия, благопристойности."
сталкиваться,несовершенный,"Приводить/привести в смущение, оскорбляя чем-либо, нарушающим правила приличия, благопристойности."
столкнуться,совершенный,"Приводить/привести в смущение, оскорбляя чем-либо, нарушающим правила приличия, благопристойности."
шокировать,несовершенный,"Приводить/привести в смущение, оскорбляя чем-либо, нарушающим правила приличия, благопристойности."
стравливаться,несовершенный,"Приводить/привести в смущение, оскорбляя чем-либо, нарушающим правила приличия, благопристойности."
стравиться,совершенный,"Приводить/привести в смущение, оскорбляя чем-либо, нарушающим правила приличия, благопристойности."
скандалить,несовершенный,"Устраивать грубую ссору с криком, шумом, дракой и т.п."
дебоширить,несовершенный,"Устраивать грубую ссору с криком, шумом, дракой и т.п."
буянить,несовершенный,"Устраивать грубую ссору с криком, шумом, дракой и т.п."
скандальничать,несовершенный,"Устраивать грубую ссору с криком, шумом, дракой и т.п."
ссориться,несовершенный,"Испытывая к кому-либо неприязнь, относясь неодобрительно, высказывать/высказать друг другу упреки, неудовольствия, обвиняя друг друга в чём-либо."
поссориться,совершенный,"Испытывая к кому-либо неприязнь, относясь неодобрительно, высказывать/высказать друг другу упреки, неудовольствия, обвиняя друг друга в чём-либо."
браниться,несовершенный,"Испытывая к кому-либо неприязнь, относясь неодобрительно, высказывать/высказать друг другу упреки, неудовольствия, обвиняя друг друга в чём-либо."
побраниться,совершенный,"Испытывая к кому-либо неприязнь, относясь неодобрительно, высказывать/высказать друг другу упреки, неудовольствия, обвиняя друг друга в чём-либо."
конфликтовать,несовершенный,"Испытывая к кому-либо неприязнь, относясь неодобрительно, высказывать/высказать друг другу упреки, неудовольствия, обвиняя друг друга в чём-либо."
препираться,несовершенный,"Испытывая к кому-либо неприязнь, относясь неодобрительно, высказывать/высказать друг другу упреки, неудовольствия, обвиняя друг друга в чём-либо."
вздорить,несовершенный,"Испытывая к кому-либо неприязнь, относясь неодобрительно, высказывать/высказать друг другу упреки, неудовольствия, обвиняя друг друга в чём-либо."
повздорить,совершенный,"Испытывая к кому-либо неприязнь, относясь неодобрительно, высказывать/высказать друг другу упреки, неудовольствия, обвиняя друг друга в чём-либо."
ругаться,несовершенный,"Испытывая к кому-либо неприязнь, относясь неодобрительно, высказывать/высказать друг другу упреки, неудовольствия, обвиняя друг друга в чём-либо."
поругаться,совершенный,"Испытывая к кому-либо неприязнь, относясь неодобрительно, высказывать/высказать друг другу упреки, неудовольствия, обвиняя друг друга в чём-либо."
стравливать,несовершенный,"Подталкивать/подтолкнуть кого-либо к ссоре, драке; подстрека'ть/подстрекну'ть к чему-либо."
стравить,совершенный,"Подталкивать/подтолкнуть кого-либо к ссоре, драке; подстрека'ть/подстрекну'ть к чему-либо."
сталкивать,несовершенный,"Подталкивать/подтолкнуть кого-либо к ссоре, драке; подстрека'ть/подстрекну'ть к чему-либо."
столкнуть,совершенный,"Подталкивать/подтолкнуть кого-либо к ссоре, драке; подстрека'ть/подстрекну'ть к чему-либо."
восхвалять,несовершенный,"Очень высоко оценивать/оценить кого-, что-либо, намеренно возвышая похвалами."
восхвалить,совершенный,"Очень высоко оценивать/оценить кого-, что-либо, намеренно возвышая похвалами."
захваливать,несовершенный,"Очень высоко оценивать/оценить кого-, что-либо, намеренно возвышая похвалами."
захвалить,совершенный,"Очень высоко оценивать/оценить кого-, что-либо, намеренно возвышая похвалами."
превозносить,несовершенный,"Очень высоко оценивать/оценить кого-, что-либо, намеренно возвышая похвалами."
превознести,совершенный,"Очень высоко оценивать/оценить кого-, что-либо, намеренно возвышая похвалами."
расхваливать,несовершенный,"Очень высоко оценивать/оценить кого-, что-либо, намеренно возвышая похвалами."
расхвалить,совершенный,"Очень высоко оценивать/оценить кого-, что-либо, намеренно возвышая похвалами."
нравиться,несовершенный,"Производить/произвести хорошее впечатление, казаться/показаться приятным, привлекательным, придясь кому-либо по вкусу, по нраву."
понравиться,совершенный,"Производить/произвести хорошее впечатление, казаться/показаться приятным, привлекательным, придясь кому-либо по вкусу, по нраву."
полюбиться,совершенный,"Производить/произвести хорошее впечатление, казаться/показаться приятным, привлекательным, придясь кому-либо по вкусу, по нраву."
приглянуться,совершенный,"Производить/произвести хорошее впечатление, казаться/показаться приятным, привлекательным, придясь кому-либо по вкусу, по нраву."
одобрять,несовершенный,"Выражать/выразить одобрение словами, жестами, поведением, мимикой."
одобрить,совершенный,"Выражать/выразить одобрение словами, жестами, поведением, мимикой."
приветствовать,несовершенный,"Выражать/выразить одобрение словами, жестами, поведением, мимикой."
сочувствовать,несовершенный,"Выражать/выразить одобрение словами, жестами, поведением, мимикой."
апробировать,двувидовой,"Выражать/выразить одобрение словами, жестами, поведением, мимикой."
благословлять,несовершенный,"Выражать/выразить одобрение словами, жестами, поведением, мимикой."
благословить,совершенный,"Выражать/выразить одобрение словами, жестами, поведением, мимикой."
располагать,несовершенный,"Вызывать/вызвать в ком-, чём-либо благоприятное отношение к кому-либо, симпатию, привлекая на свою сторону."
расположить,совершенный,"Вызывать/вызвать в ком-, чём-либо благоприятное отношение к кому-либо, симпатию, привлекая на свою сторону."
предрасполагать,несовершенный,"Вызывать/вызвать в ком-, чём-либо благоприятное отношение к кому-либо, симпатию, привлекая на свою сторону."
предрасположить,совершенный,"Вызывать/вызвать в ком-, чём-либо благоприятное отношение к кому-либо, симпатию, привлекая на свою сторону."
хвалить,несовершенный,"Проявлять/проявить одобрительное отношение к кому-либо, устно или письменно отзываясь о ком-либо хорошо."
похвалить,совершенный,"Проявлять/проявить одобрительное отношение к кому-либо, устно или письменно отзываясь о ком-либо хорошо."
одобрять,несовершенный,"Проявлять/проявить одобрительное отношение к кому-либо, устно или письменно отзываясь о ком-либо хорошо."
одобрить,совершенный,"Проявлять/проявить одобрительное отношение к кому-либо, устно или письменно отзываясь о ком-либо хорошо."
отмечать,несовершенный,"Проявлять/проявить одобрительное отношение к кому-либо, устно или письменно отзываясь о ком-либо хорошо."
отметить,совершенный,"Проявлять/проявить одобрительное отношение к кому-либо, устно или письменно отзываясь о ком-либо хорошо."
восхищать,несовершенный,"Вызывать/вызвать состояние высшей степени удовлетворения, удовольствия от кого-, чего-либо."
восхитить,совершенный,"Вызывать/вызвать состояние высшей степени удовлетворения, удовольствия от кого-, чего-либо."
восторгать,несовершенный,"Вызывать/вызвать состояние высшей степени удовлетворения, удовольствия от кого-, чего-либо."
упоить,совершенный,"Вызывать/вызвать состояние высшей степени удовлетворения, удовольствия от кого-, чего-либо."
восхищаться,несовершенный,"Испытывать/испытать состояние сильного подъёма радости, высшей степени удовлетворения, удовольствия от кого-, чего-либо."
восхититься,совершенный,"Испытывать/испытать состояние сильного подъёма радости, высшей степени удовлетворения, удовольствия от кого-, чего-либо."
восторгаться,несовершенный,"Испытывать/испытать состояние сильного подъёма радости, высшей степени удовлетворения, удовольствия от кого-, чего-либо."
упиваться,несовершенный,"Испытывать/испытать состояние сильного подъёма радости, высшей степени удовлетворения, удовольствия от кого-, чего-либо."
восторгнуться,совершенный,"Испытывать/испытать состояние сильного подъёма радости, высшей степени удовлетворения, удовольствия от кого-, чего-либо."
любоваться,несовершенный,"Испытывать/испытать удовольствие, восхищение, наблюдая за кем-, чем-либо."
заглядываться,несовершенный,"Испытывать/испытать удовольствие, восхищение, наблюдая за кем-, чем-либо."
заглядеться,совершенный,"Испытывать/испытать удовольствие, восхищение, наблюдая за кем-, чем-либо."
залюбоваться,совершенный,"Испытывать/испытать удовольствие, восхищение, наблюдая за кем-, чем-либо."
засматриваться,несовершенный,"Испытывать/испытать удовольствие, восхищение, наблюдая за кем-, чем-либо."
засмотреться,совершенный,"Испытывать/испытать удовольствие, восхищение, наблюдая за кем-, чем-либо."
обожествлять,несовершенный,"Относиться/отнестись к кому-либо с почитанием, беззаветно любить/полюбить кого-либо, преклоняясь перед ним, как перед божеством."
обожествить,совершенный,"Относиться/отнестись к кому-либо с почитанием, беззаветно любить/полюбить кого-либо, преклоняясь перед ним, как перед божеством."
боготворить,несовершенный,"Относиться/отнестись к кому-либо с почитанием, беззаветно любить/полюбить кого-либо, преклоняясь перед ним, как перед божеством."
обоготворить,совершенный,"Относиться/отнестись к кому-либо с почитанием, беззаветно любить/полюбить кого-либо, преклоняясь перед ним, как перед божеством."
молиться,несовершенный,"Относиться/отнестись к кому-либо с почитанием, беззаветно любить/полюбить кого-либо, преклоняясь перед ним, как перед божеством."
обоготворять,несовершенный,"Относиться/отнестись к кому-либо с почитанием, беззаветно любить/полюбить кого-либо, преклоняясь перед ним, как перед божеством."
обоготворить,совершенный,"Относиться/отнестись к кому-либо с почитанием, беззаветно любить/полюбить кого-либо, преклоняясь перед ним, как перед божеством."
фетишизировать,несовершенный,"Относиться/отнестись к кому-либо с почитанием, беззаветно любить/полюбить кого-либо, преклоняясь перед ним, как перед божеством."
фетишировать,несовершенный,"Относиться/отнестись к кому-либо с почитанием, беззаветно любить/полюбить кого-либо, преклоняясь перед ним, как перед божеством."
очаровывать,несовершенный,"Подчинять/подчинить своему обаянию, производя неотразимое впечатление на кого-либо и вызывая чувство восхищения."
очаровать,совершенный,"Подчинять/подчинить своему обаянию, производя неотразимое впечатление на кого-либо и вызывая чувство восхищения."
завораживать,несовершенный,"Подчинять/подчинить своему обаянию, производя неотразимое впечатление на кого-либо и вызывая чувство восхищения."
заворожить,совершенный,"Подчинять/подчинить своему обаянию, производя неотразимое впечатление на кого-либо и вызывая чувство восхищения."
заколдовывать,несовершенный,"Подчинять/подчинить своему обаянию, производя неотразимое впечатление на кого-либо и вызывая чувство восхищения."
заколдовать,совершенный,"Подчинять/подчинить своему обаянию, производя неотразимое впечатление на кого-либо и вызывая чувство восхищения."
зачаровывать,несовершенный,"Подчинять/подчинить своему обаянию, производя неотразимое впечатление на кого-либо и вызывая чувство восхищения."
зачаровать,совершенный,"Подчинять/подчинить своему обаянию, производя неотразимое впечатление на кого-либо и вызывая чувство восхищения."
обвораживать,несовершенный,"Подчинять/подчинить своему обаянию, производя неотразимое впечатление на кого-либо и вызывая чувство восхищения."
обворожить,совершенный,"Подчинять/подчинить своему обаянию, производя неотразимое впечатление на кого-либо и вызывая чувство восхищения."
околдовывать,несовершенный,"Подчинять/подчинить своему обаянию, производя неотразимое впечатление на кого-либо и вызывая чувство восхищения."
околдовать,совершенный,"Подчинять/подчинить своему обаянию, производя неотразимое впечатление на кого-либо и вызывая чувство восхищения."
пленять,несовершенный,"Подчинять/подчинить своему обаянию, производя неотразимое впечатление на кого-либо и вызывая чувство восхищения."
пленить,совершенный,"Подчинять/подчинить своему обаянию, производя неотразимое впечатление на кого-либо и вызывая чувство восхищения."
