lemma,asp,def
подняться,совершенный,"Двигаться/двинуться от земли вверх и в стороны, распространяясь над чем-либо (о тумане, паре и т.п.)."
рассветать,несовершенный,Становиться/стать освещённым солнцем с наступлением утра.
рассвести,совершенный,Становиться/стать освещённым солнцем с наступлением утра.
брезжить,несовершенный,Становиться/стать освещённым солнцем с наступлением утра.
брезжиться,несовершенный,Становиться/стать освещённым солнцем с наступлением утра.
светать,несовершенный,Становиться/стать освещённым солнцем с наступлением утра.
светлеть,несовершенный,Становиться/стать освещённым солнцем с наступлением утра.
посветлеть,совершенный,Становиться/стать освещённым солнцем с наступлением утра.
сверкать,несовершенный,"Ярко светиться, отражая свет."
блестеть,несовершенный,"Ярко светиться, отражая свет."
блистать,несовершенный,"Ярко светиться, отражая свет."
взблескивать,несовершенный,"Ярко светиться, отражая свет."
гореть,несовершенный,"Ярко светиться, отражая свет."
играть,несовершенный,"Ярко светиться, отражая свет."
искриться,несовершенный,"Ярко светиться, отражая свет."
переливать,несовершенный,"Ярко светиться, отражая свет."
переливаться,несовершенный,"Ярко светиться, отражая свет."
поблёскивать и поблескивать,несовершенный,"Ярко светиться, отражая свет."
сиять,несовершенный,"Ярко светиться, отражая свет."
звездиться,несовершенный,"Ярко светиться, отражая свет."
светиться,несовершенный,"Излучать несильный свет, быть видимым (об источниках света)."
брезжить,несовершенный,"Излучать несильный свет, быть видимым (об источниках света)."
брезжиться,несовершенный,"Излучать несильный свет, быть видимым (об источниках света)."
гореть,несовершенный,"Излучать несильный свет, быть видимым (об источниках света)."
лучиться,несовершенный,"Излучать несильный свет, быть видимым (об источниках света)."
мерцать,несовершенный,"Излучать несильный свет, быть видимым (об источниках света)."
мигать,несовершенный,"Излучать несильный свет, быть видимым (об источниках света)."
моргать,несовершенный,"Излучать несильный свет, быть видимым (об источниках света)."
просвечивать,несовершенный,"Излучать несильный свет, быть видимым (об источниках света)."
сверкать,несовершенный,"Излучать несильный свет, быть видимым (об источниках света)."
светить,несовершенный,"Излучать несильный свет, быть видимым (об источниках света)."
сиять,несовершенный,"Излучать несильный свет, быть видимым (об источниках света)."
сквозить,несовершенный,"Излучать несильный свет, быть видимым (об источниках света)."
теплиться,несовершенный,"Излучать несильный свет, быть видимым (об источниках света)."
смеркаться,несовершенный,"Переставать/перестать освещаться солнцем с наступлением ночи, заката солнца."
