id,lemma
462,высохнуть
463,потощать
464,сохнуть
465,высохнуть
466,ссыхаться
467,ссохнуться
468,тощать
469,отощать
470,усыхать
471,усохнуть
472,впадать
473,впасть
474,вваливаться
475,ввалиться
476,западать
477,запасть
478,проваливаться
479,провалиться
480,обостряться
481,обостриться
482,заостряться
483,заостриться
484,обтягиваться
485,обтянуться
486,впадать
487,впасть
488,вваливаться
489,ввалиться
490,западать
491,запасть
492,проваливаться
493,провалиться
494,горбиться
495,сгорбиться
496,сгибаться
497,согнуться
498,сутулиться
499,ссутулиться
500,горбатиться
501,сгорбатиться
502,шелушиться
503,сходить
504,сойти
505,лупиться
506,облезать
507,облезть
508,слезать
509,слезть
510,виться
511,завиваться
512,кудрявиться
513,курчавиться
514,кучерявиться
515,лысеть
516,облысеть
517,полысеть
518,линять
519,вылинять
520,облезать
521,облезть
522,плешиветь
523,оплешиветь
524,растрёпывать
525,растрепать
526,взлохмачивать
527,взлохматить
528,взъерошивать
529,взъерошить
530,разлохмачивать
531,разлохматить
532,всклокочивать
533,всклокочить
534,вскосмачивать
535,вскосматить
536,встрёпывать
537,встрепать
538,седеть
539,поседеть
540,белеть
541,побелеть
542,засеребриться
543,сиветь
544,брить
545,выбривать
546,выбрить
547,обривать
548,обрить
549,сбривать
550,сбрить
551,скоблить
552,соскоблить
553,вырастать
554,вырасти
555,подрастать
556,подрасти
557,взрастать
558,вымахивать
559,вымахать
560,вытягиваться
561,вытянуться
562,подниматься
563,подняться
564,краситься
565,накраситься
566,мазаться
567,намазаться
568,намазываться
569,намазаться
570,малеваться
571,намалеваться
572,штукатуриться
573,наштукатуриться
574,отращивать
575,отрастить
576,отпускать
577,отпустить
578,подстригать
579,подстричь
580,выстригать
581,выстричь
582,обрезать
583,обрезать
584,обстригать
585,обстричь
586,остригать
587,остричь
588,подрезать
589,подрезать
590,постригать
591,постричь
592,срезать
593,срезать
594,состригать
595,состричь
596,окромсать
597,расчёсывать
598,расчесать
599,вычёсывать
600,вычесать
601,причёсывать
602,причесать
603,начёсывать
604,начесать
605,чесать
606,причесать
607,стричь
608,остричь
609,обрезать
610,обрезать
611,остригать
612,остричь
613,постригать
614,постричь
615,состригать
616,состричь
617,обкорнать
618,обстригать
619,обстричь
620,хорошеть
621,похорошеть
622,выравниваться
623,выровняться
624,расцветать
625,расцвести
626,беременеть
627,забеременеть
628,зачинать
629,зачать
630,понести
631,размножаться
632,размножиться
633,воспроизводиться
634,разводиться
635,развестись
636,вестись
637,множиться
638,плодиться
639,наплодиться
640,расплодиться
641,рождать
642,родить
643,производить
644,произвести
645,порождать
646,породить
647,разрешаться
648,разрешиться
649,плодить
650,наплодить
651,рожать
652,родить
653,случать
654,случить
655,спаривать
656,спарить
657,вязать
658,повязать
659,гибнуть
660,погибнуть
661,погибать
662,погибнуть
663,пропадать
664,пропасть
665,дохнуть
666,издохнуть
667,издыхать
668,издохнуть
669,падать
670,пасть
671,подыхать
672,подохнуть
673,сдыхать
674,сдохнуть
675,околевать
676,околеть
677,исчезать
678,исчезнуть
679,выводиться
680,вывестись
681,вымирать
682,вымереть
683,переводиться
684,перевестись
685,умирать
686,умереть
687,почить
688,угасать
689,угаснуть
690,скончаться
691,опочить
692,отходить
693,отойти
694,преставиться
695,упокоиться
696,кончиться
697,вдыхать
698,вдохнуть
699,вбирать
700,вобрать
701,втягивать
702,втянуть
703,глотать
704,глотнуть
705,заглатывать
706,заглотнуть
707,вздрагивать
708,вздрогнуть
709,дёргаться
710,дёрнуться
711,подёргиваться
712,содрогаться
713,содрогнуться
714,сотрясаться
715,сотрястись
716,встрепенуться
717,зябнуть
718,озябнуть
719,деревенеть
720,одеревенеть
721,дрогнуть
722,продрогнуть
723,замерзать
724,замёрзнуть
725,костенеть
726,окостенеть
727,коченеть
728,окоченеть
729,закоченеть
730,леденеть
731,заледенеть
732,оледенеть
733,мёрзнуть
734,замёрзнуть
735,окоченевать
736,окоченеть
737,переохлаждаться
738,переохладиться
739,синеть
740,посинеть
741,застывать
742,застыть
743,стынуть
744,застынуть
745,стыть
746,застыть
747,издрогнуть
748,иззябнуть
749,измёрзнуть
750,передрогнуть
751,перезябнуть
752,перемёрзнуть
753,прозябнуть
754,промерзать
755,промёрзнуть
756,простынуть
757,простыть
758,истощаться
759,истощиться
760,изнуряться
761,изнуриться
762,обескровливаться
763,обескровиться
764,обессилевать
765,обессилеть
766,ослабевать
767,ослабеть
768,напрягать
769,напрячь
770,напруживать
771,напружить
772,напружинивать
773,напружинить
774,натуживать
775,натужить
776,неметь
777,онеметь
778,занемет
779,опомниться
780,отойти
781,очнуться
782,потеть
783,вспотеть
784,взмокать
785,взмокнуть
786,упариваться
787,упариться
788,употеть
789,упреть
790,просыпаться
791,проснуться
792,вставать
793,встать
794,очнуться
795,пробуждаться
796,пробудиться
797,подниматься
798,подняться
799,пульсировать
800,биться
801,сокращаться
802,разомлевать
803,разомлеть
804,сомлеть
805,размариваться
806,размориться
807,слабеть
808,ослабеть
809,вянуть
810,увянуть
811,гаснуть
812,погаснуть
813,изнемогать
814,изнемочь
815,ослабевать
816,ослабеть
817,расслабляться
818,расслабиться
819,таять
820,растаять
821,увядать
822,увянуть
823,угасать
824,угаснуть
825,хилеть
826,захилеть
827,чахнуть
828,зачахнуть
829,сдавать
830,сдать
831,выдыхаться
832,выдохнуться
833,обессилевать
834,обессилеть
835,расслабеть
836,расслабнуть
837,слабнуть
838,ослабнуть
839,хиреть
840,захиреть
841,спать
842,опочивать
843,почивать
844,храпеть
845,уставать
846,устать
847,замучиваться
848,замучаться
849,замучиться
850,измучиваться
851,измучаться
852,изнемогать
853,изнемочь
854,изнуряться
855,изнуриться
856,переутомляться
857,переутомиться
858,утомляться
859,утомиться
860,затомиться
861,выдыхаться
862,выдохнуться
863,закружиться
864,закрутиться
865,затормошиться
866,захлопотаться
867,изматываться
868,измотаться
869,измочалиться
870,натруживаться
871,натрудиться
872,перемучаться
873,умориться
874,умучиваться
875,умучаться
876,встопорщивать
877,встопорщить
878,вздыбливать
879,вздыбить
880,ощетинивать
881,ощетинить
882,взъерошивать
883,взъерошить
884,взъершить
885,выбрасывать
886,выбросить
887,выкидывать
888,выкинуть
889,закрывать
890,закрыть
891,прикрывать
892,прикрыть
893,смежать
894,смежить
895,смыкать
896,сомкнуть
897,запрокидывать
898,запрокинуть
899,забрасывать
900,забросить
901,закидывать
902,закинуть
903,откидывать
904,откинуть
905,извиваться
906,корёжиться
907,скорёжиться
908,крючиться
909,скрючиться
910,искажаться
911,исказиться
912,искривляться
913,искривиться
914,исковеркиваться
915,исковеркаться
916,перекашиваться
917,перекоситься
918,перекривляться
919,перекривиться
920,мигать
921,мигнуть
922,моргать
923,моргнуть
924,подмигивать
925,подмигнуть
926,подмаргивать
927,подморгнуть
928,смаргивать
929,сморгнуть
930,смигивать
931,смигнуть
932,опускаться
933,опуститься
934,падать
935,упасть
936,поникать
937,поникнуть
938,склоняться
939,склониться
940,откидываться
941,откинуться
942,закидываться
943,закинуться
944,запрокидываться
945,запрокинуться
946,отваливаться
947,отвалиться
948,открывать
949,открыть
950,размыкать
951,разомкнуть
952,раскрывать
953,раскрыть
954,отверзать
955,отверзть
956,разевать
957,разинуть
958,падать
959,упасть
960,бросаться
961,броситься
962,валиться
963,свалиться
964,кидаться
965,кинуться
966,сваливаться
967,свалиться
968,передёргивать
969,передёрнуть
970,искривлять
971,искривить
972,кривить
973,искривить
974,скривить
975,перекашивать
976,перекосить
977,перекривить
978,покривить
979,поджимать
980,поджать
981,подбирать
982,подобрать
983,подворачивать
984,подвернуть
985,подгибать
986,подогнуть
987,поднимать
988,поднять
989,подымать
990,поднять
991,приподнимать
992,приподнять
993,вздевать
994,воздевать
995,воздеть
996,возводить
997,возвести
998,возносить
999,вознести
1000,задирать
1001,задрать
1002,протягивать
1003,протянуть
1004,простирать
1005,простереть
1006,скалиться
1007,оскалиться
1008,щериться
1009,ощериться
1010,топорщить
1011,встопорщить
1012,взъерошивать
1013,взъерошить
1014,хохлить
1015,нахохлить
1016,хохлиться
1017,нахохлиться
1018,ерошить
1019,ершить
1020,трепать
1021,встрепать
1022,растрепать
1023,взлохмачивать
1024,взлохматить
1025,взъерошивать
1026,взъерошить
1027,всклокочить
1028,ерошить
1029,лохматить
1030,тянуться
1031,потянуться
1032,потягиваться
1033,потянуться
1034,стареть
1035,постареть
1036,дряхлеть
1037,одряхлеть
1038,отцветать
1039,отцвести
1040,стариться
1041,состариться
1042,увядать
1043,увянуть
1044,дряхнуть
1045,хиреть
1046,голодать
1047,недоедать
1048,есть
1049,съесть
1050,поесть
1051,кушать
1052,скушать
1053,покушать
1054,лакомиться
1055,полакомиться
1056,проглатывать
1057,проглотить
1058,сжёвывать
1059,сжевать
1060,съедать
1061,съесть
1062,поглощать
1063,поглотить
1064,вкушать
1065,вкусить
1066,трапезничать
1067,глотать
1068,проглотить
1069,жевать
1070,заглатывать
1071,заглотить
1072,закусывать
1073,закусить
1074,заправляться
1075,заправиться
1076,поедать
1077,поесть
1078,уничтожать
1079,уничтожить
1080,уписывать
1081,уписать
1082,жевать
1083,сжевать
1084,прожевать
1085,разжёвывать
1086,разжевать
1087,пережёвывать
1088,пережевать
1089,прожёвывать
1090,прожевать
1091,заедать
1092,заесть
1093,закусывать
1094,закусить
1095,кормить
1096,накормить
1097,питать
1098,напитать
1099,насыщать
1100,насытить
1101,пичкать
1102,напичкать
1103,наедаться
1104,наесться
1105,насыщаться
1106,насытиться
1107,напитаться
1108,объедаться
1109,объесться
1110,переедать
1111,переесть
1112,чревоугодничать
1113,питаться
1114,есть
1115,поесть
1116,кормиться
1117,употреблять
1118,потреблять
1119,питаться
1120,столоваться
1121,едать
1122,кормиться
1123,поесть
1124,закусить
1125,подкрепиться
